width,phase_time,classical_time,T
5.847457627118644474e+00,2.500000000026085800e-01,2.067388470418295654e+00,1.723350112635479236e-14
6.013559322033898979e+00,2.500000000020938806e-01,2.126114287838873462e+00,6.734490454202296969e-15
6.179661016949153485e+00,2.500000000027738922e-01,2.184840105259451271e+00,2.631697491137414960e-15
6.345762711864407990e+00,2.500000000033217318e-01,2.243565922680029079e+00,1.028412131839501251e-15
6.511864406779661607e+00,2.500000000060789151e-01,2.302291740100606443e+00,4.018818714827167210e-16
6.677966101694916112e+00,2.500000000035828007e-01,2.361017557521184251e+00,1.570469985973050569e-16
6.844067796610170618e+00,2.500000000037269077e-01,2.419743374941762060e+00,6.137067013604425428e-17
7.010169491525424235e+00,2.500000000019602098e-01,2.478469192362339424e+00,2.398236952369117994e-17
7.176271186440678740e+00,2.500000000033786862e-01,2.537195009782917232e+00,9.371806543677735718e-18
7.342372881355933245e+00,2.500000000035842995e-01,2.595920827203495040e+00,3.662305253255168556e-18
7.508474576271187750e+00,2.500000000021032620e-01,2.654646644624072849e+00,1.431152009541695461e-18
7.674576271186441367e+00,2.500000000036187164e-01,2.713372462044650213e+00,5.592641608983161831e-19
7.840677966101695873e+00,2.500000000028390068e-01,2.772098279465228021e+00,2.185486933463185611e-19
8.006779661016949490e+00,2.500000000036901038e-01,2.830824096885805385e+00,8.540424132786106673e-20
8.172881355932203107e+00,2.500000000017926771e-01,2.889549914306382750e+00,3.337418460438668143e-20
8.338983050847458500e+00,2.500000000034414138e-01,2.948275731726961002e+00,1.304193071315655188e-20
8.505084745762712117e+00,2.500000000018631208e-01,3.007001549147538366e+00,5.096512731113192708e-21
8.671186440677965734e+00,2.499999999993389177e-01,3.065727366568115730e+00,1.991610183314049186e-21
8.837288135593221128e+00,2.500000000028788083e-01,3.124453183988693983e+00,7.782794494096728354e-22
9.003389830508474745e+00,2.500000000051045279e-01,3.183179001409271347e+00,3.041352702693621788e-22
9.169491525423728362e+00,2.500000000046697091e-01,3.241904818829848711e+00,1.188496788550412964e-22
9.335593220338983755e+00,2.500000000045494719e-01,3.300630636250426964e+00,4.644395946394509122e-23
9.501694915254237372e+00,2.500000000029793945e-01,3.359356453671004328e+00,1.814932435214662025e-23
9.667796610169490990e+00,2.500000000043437476e-01,3.418082271091581692e+00,7.092374944800675084e-24
9.833898305084746383e+00,2.500000000026019742e-01,3.476808088512159944e+00,2.771551236929995992e-24
1.000000000000000000e+01,2.500000000033982261e-01,3.535533905932737309e+00,1.083064039720503339e-24
