t,reflected,inside,transmitted
6.779661016949152241e+00,8.125139964473471199e-01,5.313499781667370761e-03,1.820780018220554686e-01
7.050847457627118509e+00,8.132036890685145902e-01,3.961595319995071286e-03,1.827638343396635889e-01
7.322033898305084776e+00,8.137201125479811559e-01,2.951956874334766851e-03,1.832753831084584784e-01
7.593220338983051043e+00,8.141026816565171131e-01,2.201309482791527494e-03,1.836568057130680554e-01
7.864406779661017310e+00,8.143883913577277811e-01,1.641181997015433340e-03,1.839411411362354698e-01
8.135593220338982690e+00,8.146017704059791420e-01,1.223344572389842245e-03,1.841530904752057551e-01
8.406779661016949845e+00,8.147605496800848224e-01,9.121068753814619637e-04,1.843110894430488866e-01
8.677966101694915224e+00,8.148790073818844570e-01,6.799886844397335902e-04,1.844288792253250264e-01
8.949152542372880603e+00,8.149673524198438601e-01,5.069189384733741813e-04,1.845166956453629659e-01
9.220338983050847759e+00,8.150331663927783410e-01,3.779316461209661620e-04,1.845821657422156148e-01
9.491525423728813138e+00,8.150822522432280559e-01,2.817500206694900362e-04,1.846309752540843396e-01
9.762711864406780293e+00,8.151188463914617044e-01,2.100468687350106874e-04,1.846673634135849174e-01
1.003389830508474567e+01,8.151461214566240177e-01,1.565960814793870425e-04,1.846944911710289294e-01
1.030508474576271105e+01,8.151664605914076267e-01,1.167433044079770190e-04,1.847147152601635312e-01
1.057627118644067821e+01,8.151816220593267603e-01,8.703414916178525273e-05,1.847297926089851439e-01
1.084745762711864359e+01,8.151929247316018756e-01,6.488567900421860055e-05,1.847410330231978037e-01
1.111864406779661074e+01,8.152013519988692281e-01,4.837289522926387211e-05,1.847494129373703775e-01
1.138983050847457612e+01,8.152076340000542487e-01,3.606293696820282138e-05,1.847556602947043047e-01
1.166101694915254150e+01,8.152123175286082324e-01,2.688545790191610593e-05,1.847603178000820634e-01
1.193220338983050866e+01,8.152158092510265464e-01,2.004347010044608312e-05,1.847637900386204790e-01
1.220338983050847403e+01,8.152184122361042506e-01,1.494277761254610670e-05,1.847663786472459879e-01
1.247457627118644119e+01,8.152203529062058696e-01,1.114004031759388666e-05,1.847683084950720311e-01
1.274576271186440657e+01,8.152217996702845193e-01,8.305079023627747275e-06,1.847697472254807849e-01
1.301694915254237372e+01,8.152228782458713630e-01,6.191572849749128028e-06,1.847708198225578302e-01
1.328813559322033910e+01,8.152236823683336464e-01,4.615903985577837919e-06,1.847716194556738301e-01
1.355932203389830448e+01,8.152242818647361666e-01,3.441234353085116407e-06,1.847722155653495624e-01
1.383050847457627164e+01,8.152247290196655838e-01,2.565491434534333681e-06,1.847726597618461197e-01
1.410169491525423702e+01,8.152250636630963276e-01,1.912613329381579109e-06,1.847729896340155331e-01
1.437288135593220417e+01,8.152253197578831490e-01,1.425884179050026056e-06,1.847732289431502917e-01
1.464406779661016955e+01,8.152255402155943464e-01,1.063017696303425260e-06,1.847733778198032417e-01
1.491525423728813493e+01,8.152258199346642531e-01,7.924970868382294692e-07,1.847733734430322960e-01
1.518644067796610209e+01,8.152264271496383330e-01,5.908189031520493857e-07,1.847729715007795093e-01
1.545762711864406747e+01,8.152281109673515935e-01,4.404657401115788873e-07,1.847714407162316941e-01
1.572881355932203462e+01,8.152327963887234796e-01,3.283762351303474458e-07,1.847668693821027941e-01
1.600000000000000000e+01,8.152449881953303112e-01,2.448135085059027624e-07,1.847547626276853927e-01
